g_ewaran,p_ewaran,g_parallel,p_parallel,g_zankoline,p_zankoline,department,collage-institute,university
,,97,95.143,99.667,96.8,پزیشکی,کۆلێژی پزیشکی,زانکۆی دهۆک
,,96.286,94,96.8,94.754,پزیشکی ددان,کۆلێژی پزیشکی,زانکۆی دهۆک
,,95.667,93.296,96,94,دەرمانسازی,کۆلێژی پزیشکی,زانکۆی دهۆک
,,96.8,87.6,93.657,91.667,پەرستاری,کۆلێژی پزیشکی,زانکۆی دهۆک
,,85.2,67.429,86,72.333,پزیشکی ڤێتێرنەری,کۆلێژی ڤێتێرنەری,زانکۆی دهۆک
,,92,90.333,92,91.276,زانستی لابوری پزیشکی,زانستی تەندروستی,زانکۆی دهۆک
,,95.6,92.8,94.191,92.5,تەلارسازی,ئەندازیاری,زانکۆی دهۆک
,,91.867,83.6,91.76,88.392,شارستانی,ئەندازیاری,زانکۆی دهۆک
,,90.533,78.033,87.751,82.455,کارەبا و کۆمپیوتەر,ئەندازیاری,زانکۆی دهۆک
,,80.333,80.333,80.333,80.333,بایۆمیدیکاڵ,ئەندازیاری,زانکۆی دهۆک
,,80,80,88.6,78.4,میکانیک,ئەندازیاری,زانکۆی دهۆک
,,75,75,75,75,پلان دانانا جهی,پلان دانانا جهی,زانکۆی دهۆک
,,81.9,76.567,88.5,82.2,زیندەزانی,زانست,زانکۆی دهۆک
,,80.667,72.371,84.2,78.567,کیمیا,زانست,زانکۆی دهۆک
,,74.867,66.6,80.774,73.02,زانستی کۆمپیوتەر,زانست,زانکۆی دهۆک
,,69.7,64.234,75.861,67.834,فیزیک,زانست,زانکۆی دهۆک
,,61.456,58.853,64.354,64.354,زەوی ناسی,زانست,زانکۆی دهۆک
,,61,61,72.737,62.9,ماتماتیک,زانست,زانکۆی دهۆک
,,91.6,79.457,90.8,84.006,یاسا,یاسا,زانکۆی دهۆک
,,72.2,65.8,76.581,70.7,پەیوەندیە نێودەوڵەتیەکان و دیبلۆماسی,زانستی سیاسی,زانکۆی دهۆک
,,67.6,63.8,73.2,66,سیستەمی سیاسی و سیاسەتا گشتی,زانستی سیاسی,زانکۆی دهۆک
,,70.6,70.6,86.1,76.9,زمانی ئینگلیزی,زمان,زانکۆی دهۆک
,,76.132,69.2,80,74.4,وەرگێڕان,زمان,زانکۆی دهۆک
,,62.574,58.497,66.202,60.9,زمانی کوردی,زمان,زانکۆی دهۆک
,,62.6,58.689,66,66,شوێنەوار,زانستی مرۆڤایەتی,زانکۆی دهۆک
,,67.3,63,70.9,64.608,جوگرافیا,زانستی مرۆڤایەتی,زانکۆی دهۆک
,,66.2,62.699,71.8,64.6,دەروونناسی,زانستی مرۆڤایەتی,زانکۆی دهۆک
,,65.744,62,72,63.766,مێژوو,زانستی مرۆڤایەتی,زانکۆی دهۆک
,,59.923,59.558,63.6,63.6,خوێندنی ئاشتی و مافی مرۆڤ,زانستی مرۆڤایەتی,زانکۆی دهۆک
,,62.933,57.6,62,62,کۆمەڵناسی,زانستی مرۆڤایەتی,زانکۆی دهۆک
,,61.523,59,64.4,61.375,پەروەردەی ئاینی,زانستی مرۆڤایەتی,زانکۆی دهۆک
,,73.516,68.574,79.1,72.778,زمانی ئینگلیزی,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,74.852,64.1,80.319,68.3,زمانی عەرەبی,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,67.7,64,74.1,67.6,جوگرافیا,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,66.8,64,72.5,67,مێژوو,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,63.946,60.424,68.663,63.212,زانستەکان,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,61.4,57.6,62.6,62.6,پەروەردی تایبەت,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,60.4,57.8,62.4,62.4,رابەریا پەروەردەین,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,63,59.6,67.5,61.2,زمانی کوردی,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,61.9,57.775,74.666,61.1,ماتماتیک,پەروەردەی بنەڕەت,زانکۆی دهۆک
,,60.276,59.752,64.9,64.9,زانستی دارایی و بانک,کارگێری و ئابوری,زانکۆی دهۆک
,,69.492,62.925,73.8,64.8,ئابووری,کارگێری و ئابوری,زانکۆی دهۆک
,,60,60,64.526,64.526,ئامار,کارگێری و ئابوری,زانکۆی دهۆک
,,62.6,58.11,63.7,63.7,ژمێریاری,کارگێری و ئابوری,زانکۆی دهۆک
,,65.1,62.5,70.498,63.396,کارگێری کار,کارگێری و ئابوری,زانکۆی دهۆک
,,58.9,57.422,62.2,62.2,کارگێری گوزاری و ئوتێلگری,کارگێری و ئابوری,زانکۆی دهۆک
,,75.4,66.5,80.6,72.756,زمانی ئینگلیزی,پەروەردە - ئاکرێ,زانکۆی دهۆک
,,68.2,62.2,74.198,67.4,زمانی عەرەبی,پەروەردە - ئاکرێ,زانکۆی دهۆک
,,74.1,63.01,72.1,66.7,مێژوو,پەروەردە - ئاکرێ,زانکۆی دهۆک
,,58.6,61.2,75.205,65.2,زیندەزانی,پەروەردە - ئاکرێ,زانکۆی دهۆک
,,65.041,59.8,71.3,63.5,زمانی کوردی,پەروەردە - ئاکرێ,زانکۆی دهۆک
,,69.5,59.955,71.054,62.6,ماتماتیک,پەروەردە - ئاکرێ,زانکۆی دهۆک
,,62.1,59.6,65.9,62.2,پەروەردەی ئاینی,پەروەردە - ئاکرێ,زانکۆی دهۆک
,,59.5,53.645,62.588,62.588,شیرەتکاریا چاندنی و جڤاکی گوندایەتی,زانستە ئەندازیاریە کشتووکاڵیەکان,زانکۆی دهۆک
,,59.2,55.298,60.513,60.4,خاک و ئاو,زانستە ئەندازیاریە کشتووکاڵیەکان,زانکۆی دهۆک
,,57.3,55.414,60.296,60.296,پاراستنی ڕووەک,زانستە ئەندازیاریە کشتووکاڵیەکان,زانکۆی دهۆک
,,72.8,54.235,59.7,59.7,دارستان,زانستە ئەندازیاریە کشتووکاڵیەکان,زانکۆی دهۆک
,,57.5,54.334,59,59,گەشتیاری توریزمی ژینگەیی,زانستە ئەندازیاریە کشتووکاڵیەکان,زانکۆی دهۆک
,,59.2,57.1,63.119,58.214,بەرهەمی گیانەوەری,زانستە ئەندازیاریە کشتووکاڵیەکان,زانکۆی دهۆک
,,58.8,56.541,61.506,58.149,بیستان کاری,زانستە ئەندازیاریە کشتووکاڵیەکان,زانکۆی دهۆک
,,57.9,54.656,61.8,58,زانستی و تەکنەلۆجیای خوارنی,زانستە ئەندازیاریە کشتووکاڵیەکان,زانکۆی دهۆک
,,64.988,63,72.2,66.8,زمانی ئینگلیزی,پەروەردەی بنەڕەت - ئامێدی,زانکۆی دهۆک
,,62.7,59.032,65.715,65.715,کۆمەڵایەتی,پەروەردەی بنەڕەت - ئامێدی,زانکۆی دهۆک
,,89.283,82.653,91.636,88.537,پەرستاری,کۆلێژی تەکنیکیی تەندروستی شێخان,ز.پۆڵۆتەکنیکی دهۆک
,,84.3,80.333,90.474,86.667,تەکنەلۆجیای تاقیگەی نۆژداری,کۆلێژی تەکنیکیی تەندروستی شێخان,ز.پۆڵۆتەکنیکی دهۆک
,,80.002,77.058,88.8,81.714,تەندوس رت گشتی,کۆلێژی تەکنیکیی تەندروستی شێخان,ز.پۆڵۆتەکنیکی دهۆک
,,80,80,80.2,80.2,وزە,کۆلێژی تەکنیکیی ئەندازیاری دهۆک,ز.پۆڵۆتەکنیکی دهۆک
