g_ewaran,p_ewaran,g_parallel,p_parallel,g_zankoline,p_zankoline,department,collage-institute,university
,,97.773,97.139,99.2,97.837,پزیشکی گشتی,کۆلێژی پزیشک,زانکۆی هەولێری پزیشکی
,,96.753,96.333,97.257,96.667,ددانسازی,کۆلێژی پزیشک,زانکۆی هەولێری پزیشکی
,,96,95.667,96.667,96.077,دەرمانسازی,کۆلێژی پزیشک,زانکۆی هەولێری پزیشکی
,,97,91.281,95.031,92.8,پەرستاری,کۆلێژی پەرستاری,زانکۆی هەولێری پزیشکی
,,81.667,75.143,86.571,81.565,مامانی,کۆلێژی پەرستاری,زانکۆی هەولێری پزیشکی
,,96.667,95.429,95.333,94.571,مایکرۆبایۆلۆجی پزیشکی,زانستە تەندرووستیەکان,زانکۆی هەولێری پزیشکی
,,90.8,89.429,92.8,91.66,کیمیای ژیانی کلینیکی,زانستە تەندرووستیەکان,زانکۆی هەولێری پزیشکی
,,89.333,87.649,90.831,89.4,چارەسەری سرووشتی,زانستە تەندرووستیەکان,زانکۆی هەولێری پزیشکی
,,90,72.667,84,78.857,تەندروستی کۆمەڵ,زانستە تەندرووستیەکان,زانکۆی هەولێری پزیشکی
,,73.559,70.459,80.333,75.2,خۆراکزانی و پارێزی,زانستە تەندرووستیەکان,زانکۆی هەولێری پزیشکی
,,90,88.013,91.714,79.143,ڤێتێرنەری,کۆلێژی پزیشکی ڤێتێرنەری,زانکۆی سەڵاحەدین
,,97.333,95.849,96.8,94.56,تەلارسازی,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,97.3,95.2,95.72,94.36,پرۆگرامسازی,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,92.433,89.067,94.3,90.88,شارستانی,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,88.72,82.932,91.093,86.861,کیمیا و پترۆکیمیا,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,85.36,79.466,90.048,81.989,کارەبا,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,88,88,88,88,ئەندازیاری فرۆکەوانی,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,91.467,80.6,92.08,79.433,میکانیک و میکاترۆنیک,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,80.52,85.52,85.2,79.732,ڕووپێوان,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,95.72,95.72,81.175,80.292,سەرچاوەکانی ئاو,کۆلێژی ئەندازیاری,زانکۆی سەڵاحەدین
,,90,88.013,91.714,89.667,بایۆلۆجی پزیشکی,کۆلێژی زانست,زانکۆی سەڵاحەدین
,,87.467,81.2,89.75,85.9,بایۆلۆجی گشتی,کۆلێژی زانست,زانکۆی سەڵاحەدین
,,80.8,78.281,87.085,80.814,کیمیا,کۆلێژی زانست,زانکۆی سەڵاحەدین
,,86.14,78.281,88.72,83.254,تەکنەلۆجیای زانیاری IT,کۆلێژی زانست,زانکۆی سەڵاحەدین
,,82.18,76.936,88.42,80.5,زانستەکانی کۆمپیوتەر,کۆلێژی زانست,زانکۆی سەڵاحەدین
,,78.819,74.489,85.1,79,فیزیای پزیشکی,کۆلێژی زانست,زانکۆی سەڵاحەدین
,,72.8,66.257,77.2,71.5,فیزیای گشتی,کۆلێژی زانست,زانکۆی سەڵاحەدین
,,66.8,59.701,72.672,62.947,زانستەکانی زەوی و نەوت,کۆلێژی زانست,زانکۆی سەڵاحەدین
,,62.027,57.35,71,62.806,ماتماتیک,کۆلێژی زانست,زانکۆی سەڵاحەدین
