g_ewaran,p_ewaran,g_parallel,p_parallel,g_zankoline,p_zankoline,department,collage-institute,university
,,97.6,97.143,99.667,98.031,پزیشکی گشتی,کۆلێژی پزیشکی,زانکۆی سلێمانی
,,97.6,97.143,99.667,98.031,پزیشکی,کۆلێژی پزیشکی,زانکۆی سلێمانی
,,96.667,96.333,97.429,96.857,ددانسازی,کۆلێژی پزیشکی,زانکۆی سلێمانی
,,96,95.667,96.8,96.286,دەرمانسازی,کۆلێژی پزیشکی,زانکۆی سلێمانی
,,97,94.4,95.667,94.286,پەرستاری,کۆلێژی پزیشکی,زانکۆی سلێمانی
,,97.6,86.8,93.333,88.4,پزیشکی,کۆلێژی پزیشکی,زانکۆی سلێمانی
,,97.44,96.28,95.567,94.48,تەلارسازی,کۆلێژی ئەندازیاری,زانکۆی سلێمانی
,,95.333,90.733,94.033,91.96,شارستانی,کۆلێژی ئەندازیاری,زانکۆی سلێمانی
,,95.8,80,91.32,84.4,کارەبا,کۆلێژی ئەندازیاری,زانکۆی سلێمانی
,,80,80,0,77.992,سەرچاوەکانی ئاو,کۆلێژی ئەندازیاری,زانکۆی سلێمانی
,,95.61,89.233,92.68,89.837,بایۆلۆجی,کۆلێژی زانست,زانکۆی سلێمانی
,,86.2,83.6,89.3,86,کیمیا,کۆلێژی زانست,زانکۆی سلێمانی
,,81.52,75.433,87.667,81.667,کۆمپیوتەر,کۆلێژی زانست,زانکۆی سلێمانی
,,63.867,60.6,68.7,64.313,فیزیک,کۆلێژی زانست,زانکۆی سلێمانی
,,60.372,60.372,68.367,63.539,جیۆلۆجی,کۆلێژی زانست,زانکۆی سلێمانی
,,59.922,59.922,62.526,62.526,ماتماتیک,کۆلێژی زانست,زانکۆی سلێمانی
,,82.2,76.5,88.4,81.6,زمانی ئینگلیزی,کۆلێژی زمان,زانکۆی سلێمانی
,,74.8,71.6,76,75.822,وەرگێڕان,کۆلێژی زمان,زانکۆی سلێمانی
61.4,61.4,57,57,67,67,زمان و ئەدەبی فارسی,کۆلێژی زمان,زانکۆی سلێمانی
63.8,57.3,85.661,60.8,72.902,64.1,زمانی عەرەبی,کۆلێژی زمان,زانکۆی سلێمانی
64.9,64.9,61,57.481,80,62.2,زمانی کوردی,کۆلێژی زمان,زانکۆی سلێمانی
,,89.1,84.8,94.1,89.2,یاسا,کۆلێژی یاسا,زانکۆی سلێمانی
,,62.6,58.7,69,63.2,زانستە رامیارییەکان,زکۆلێژی زانستە ڕامیارییەکان,زانکۆی سلێمانی
,,65.339,59.7,68.8,61.6,سیاسەت و پ.نێودەوڵەتیەکان,زکۆلێژی زانستە ڕامیارییەکان,زانکۆی سلێمانی
,,75.6,69.524,81.614,75.9,بایۆلۆجی,کۆلێژی پەروەردە,زانکۆی سلێمانی
,,75.638,64.281,80.189,70.431,کیمیا,کۆلێژی پەروەردە,زانکۆی سلێمانی
,,61.5,61.5,74.434,66.26,ماتماتیک,کۆلێژی پەروەردە,زانکۆی سلێمانی
,,67.522,57.9,72.898,63.8,فیزیک,کۆلێژی پەروەردە,زانکۆی سلێمانی
73.9,69,79.892,74.8,86.2,80,زمانی ئینگلیزی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی سلێمانی
71,58,68.32,63.04,74.3,67.5,زمانی کوردی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی سلێمانی
,,:0.86,62.9,74.006,66.8,زانستی کۆمپیوتەر,کۆلێژی پەروەردەی بنەڕەت,زانکۆی سلێمانی
59.8,57.8,65.4,61.8,71.8,66.6,باخچەی منداڵان,کۆلێژی پەروەردەی بنەڕەت,زانکۆی سلێمانی
60.7,60.7,68.8,59.4,72.2,65.8,زانستە کۆمەڵایەتیەکان,کۆلێژی پەروەردەی بنەڕەت,زانکۆی سلێمانی
57.2,57.2,64.4,58.8,70.8,65,پەروەردەی تایبەت,کۆلێژی پەروەردەی بنەڕەت,زانکۆی سلێمانی
,,69.3,58.4,72.2,62.236,زانستە بیرکاریەکان,کۆلێژی پەروەردەی بنەڕەت,زانکۆی سلێمانی
61.2,61.2,63.2,63.2,69.8,66.9,مێژوو,ک.زانستە مرۆڤایەتیەکان,زانکۆی سلێمانی
,,57.876,57.876,66.7,66.7,پەیوەندیە گشتیەکان,ک.زانستە مرۆڤایەتیەکان,زانکۆی سلێمانی
,,60.8,60.8,65.837,65.837,شوێنەوار,ک.زانستە مرۆڤایەتیەکان,زانکۆی سلێمانی
,,62.5,61.569,67.329,64.2,جوگرافیا,ک.زانستە مرۆڤایەتیەکان,زانکۆی سلێمانی
,,62.2,57.8,66.603,63.478,کۆمەڵناس,ک.زانستە مرۆڤایەتیەکان,زانکۆی سلێمانی
,,60,60,62.4,62.4,فەلسەفە و توێژینەوە کلتوریەکان,ک.زانستە مرۆڤایەتیەکان,زانکۆی سلێمانی
,,63.411,57.252,72.2,61.6,ڕاگەیاندن,ک.زانستە مرۆڤایەتیەکان,زانکۆی سلێمانی
,,63,58,66.95,61,کاری کۆمەڵایەتی,ک.زانستە مرۆڤایەتیەکان,زانکۆی سلێمانی
71.2,61.2,71.7,66,78,72.3,کارگێری کار,ک.کارگێری و ئابوری,زانکۆی سلێمانی
62.5,59,65.9,65.9,78.9,71.9,ئابوری,ک.کارگێری و ئابوری,زانکۆی سلێمانی
,,69,62.858,72.815,67.3,ژمێریاری,ک.کارگێری و ئابوری,زانکۆی سلێمانی
,,61.048,59.5,65.383,63.804,ئامار و زانیاری,ک.کارگێری و ئابوری,زانکۆی سلێمانی
64.9,58.7,64.081,58.8,69.4,62.8,کارگێری و بەبازاڕکردن,ک.کارگێری و ئابوری,زانکۆی سلێمانی
,,76.6,67.7,79.7,74,تەکنەلۆجیای زانیاری,کۆلێژی بازرگانی,زانکۆی سلێمانی
,,64.575,58.4,64.701,64,زانستی دارایی و بانک,کۆلێژی بازرگانی,زانکۆی سلێمانی
63.2,63.2,62.2,60.2,63.035,63.035,گەشت وگوزار,کۆلێژی بازرگانی,زانکۆی سلێمانی
