g_ewaran,g_parallel,g_zankoline,p_ewaran,p_parallel,p_zankoline,department,collage-institute,university
,98.8,100,,98.4,99,پزیشکی,پزیشکی,هەولێری پزیشکی
,98,98.667,,97.667,98,پزیشکی ددان,پزیشکی,هەولێری پزیشکی
,97.667,98.333,,97.514,97.714,دەرمانسازی,پزیشکی,هەولێری پزیشکی
,97.2,97.667,,95.714,97.143,مایكرۆبایۆلۆجی پزیشكی,زانستە تەندروستیەکان,هەولێری پزیشکی
,94.8,96.4,,94,96,کیمیای ژیانی کلینیکی,زانستە تەندروستیەکان,هەولێری پزیشکی
,92.667,95.333,,91.333,93.6,چارەسەری سروشتی,زانستە تەندروستیەکان,هەولێری پزیشکی
,94.8,96.8,,94.333,95.333,پەرستاری,پەرستاری,هەولێری پزیشکی
,97.5,97.44,,95.847,96.76,تەلارسازی,ئەندازیاری,سەڵاحەدین
,96.96,97.6,,95.555,96.543,پرۆگرام سازی,ئەندازیاری,سەڵاحەدین
,95.2,95.867,,93,94.28,شارستانی,ئەندازیاری,سەڵاحەدین
,91,94.9,,89.188,92.24,کیمیا و پترۆ کیمیا,ئەندازیاری,سەڵاحەدین
,89.247,94.96,,88.167,90.067,کارەبا,ئەندازیاری,سەڵاحەدین
,,92.8,,,89.967,ئەندازیاری فرۆکەوانی,ئەندازیاری,سەڵاحەدین
,90.567,94.767,,86.12,88.667,میکانیک و میکاترۆنیک,ئەندازیاری,سەڵاحەدین
,87.28,88.933,,84.7,87.4,ڕووپێوان,ئەندازیاری,سەڵاحەدین
,89.6,90.233,,82.6,85.04,سەرچاوەکانی ئاو,ئەندازیاری,سەڵاحەدین
,93.2,95.667,,92,94.157,بایۆلۆجی پزیشکی,زانست,سەڵاحەدین
,92.6,94.3,,88.86,92.865,بایۆلۆجی گشتی,زانست,سەڵاحەدین
,88.18,92.5,,86.023,88.72,کیما,زانست,سەڵاحەدین
,89.667,94.1,,85.62,88.46,تەکنەلۆجیای زانیاری IT,زانست,سەڵاحەدین
,87,94.4,,85.4,87.9,فیزیای پزیشکی,زانست,سەڵاحەدین
,85.3,88.9,,84.038,86.888,زانستەکانی کۆمپیوتەر CS,زانست,سەڵاحەدین
,78.4,84.4,,75.813,79.103,فیزیای گشتی,زانست,سەڵاحەدین
,81.1,79.6,,72,74.9,فیزیای گەیاندن,زانست,سەڵاحەدین
,73.124,83.121,,67,73.2,زانستەکانی زەوی و نەوت,زانست,سەڵاحەدین
,70.1,78.9,,62.47,68.4,ماتماتیک,زانست,سەڵاحەدین
,69.283,76.508,,62.27,67.937,زانست و تەندروستی ژینگە,زانست,سەڵاحەدین
,84,91.8,,80.8,85,یاسا,یاسا,سەڵاحەدین
,83.633,89.2,,79.8,84.2,زمانی ئینگلیزی,زمان,سەڵاحەدین
,70.2,77.4,,65.573,69,زمانی عەرەبی,زمان,سەڵاحەدین
,64.9,70.8,,62.6,66.791,زمانی کوردی,زمان,سەڵاحەدین
,60.75,63.3,,58.15,63.5,زمانی فارسی,زمان,سەڵاحەدین
,64.8,68,,63.2,63,زمانی ئەلمانی,زمان,سەڵاحەدین
,67.3,69.313,,63.3,62.6,زمانی فەرەنسی,زمان,سەڵاحەدین
,63.191,69.6,,61.8,61.6,زمانی تورکی,زمان,سەڵاحەدین
75.6,73.831,80.4,62.565,68.681,75,کارگێری کار,بەرێوەبردن و ئابوری,سەڵاحەدین
63.9,74.1,80.3,58.5,66,72.4,ئابوری,بەرێوەبردن و ئابوری,سەڵاحەدین
,69.87,76.3,,65.231,69.805,ژمێریاری,بەرێوەبردن و ئابوری,سەڵاحەدین
,65.1,69.614,,62.9,65.458,زانستی دارایی و بانک,بەرێوەبردن و ئابوری,سەڵاحەدین
,60.923,68.3,,57.53,62.2,ئامار,بەرێوەبردن و ئابوری,سەڵاحەدین
60,61.6,67,60,57,61,کارگێری رێکخراوی گەشتیاری,بەرێوەبردن و ئابوری,سەڵاحەدین
75.85,82.7,83.5,72.6,76.229,79.236,زمانی ئینگلیزی,پەروەردەی بنەرەت,سەڵاحەدین
,76.4,77.96,,66.538,71.861,زانستی گشتی,پەروەردەی بنەرەت,سەڵاحەدین
66.4,71.1,84.3,60.5,65.7,71.2,زانستی کۆمەڵایەتیەکان,پەروەردەی بنەرەت,سەڵاحەدین
67.373,70.1,74.3,63,66.3,70.6,زمانی عەرەبی,پەروەردەی بنەرەت,سەڵاحەدین
66.3,68.833,73.3,61.6,65.9,69.1,زمانی کوردی,پەروەردەی بنەرەت,سەڵاحەدین
,66.804,71.4,,64.1,67.1,ماتماتیک,پەروەردەی بنەرەت,سەڵاحەدین
